Entity,Code,Day,Unvaccinated,"Fully vaccinated, no booster",Fully vaccinated + booster
20-29,,2021-07-24,0,0,
20-29,,2021-07-31,0,0,
20-29,,2021-08-07,0,0,
20-29,,2021-08-14,0,0,
20-29,,2021-08-21,0,0,
20-29,,2021-08-28,0,0,
20-29,,2021-09-04,0,0,
20-29,,2021-09-11,0,0,
20-29,,2021-09-18,0,0,
20-29,,2021-09-25,0,0.179869378857074,
20-29,,2021-10-02,0,0,
20-29,,2021-10-09,0,0,
20-29,,2021-10-16,0,0,
20-29,,2021-10-23,0,0,
20-29,,2021-10-30,0,0,
20-29,,2021-11-06,0,0,
20-29,,2021-11-13,0,0,0
20-29,,2021-11-20,0,0,0
20-29,,2021-11-27,0,0,0
20-29,,2021-12-04,0,0,0
20-29,,2021-12-11,0,0,0
20-29,,2021-12-18,0,0,0
20-29,,2021-12-25,0,0,0
20-29,,2022-01-01,0,0,0
30-39,,2021-01-30,0,0,
30-39,,2021-02-06,0,0,
30-39,,2021-02-13,0,0,
30-39,,2021-02-20,0,0,
30-39,,2021-02-27,0,0,
30-39,,2021-03-06,0,0,
30-39,,2021-03-13,0,0,
30-39,,2021-03-20,0,0,
30-39,,2021-03-27,0,0,
30-39,,2021-04-03,0,0,
30-39,,2021-04-10,0,0,
30-39,,2021-04-17,0,0,
30-39,,2021-04-24,0,0,
30-39,,2021-05-01,0,0,
30-39,,2021-05-08,0,0,
30-39,,2021-05-15,0,0,
30-39,,2021-05-22,0,0,
30-39,,2021-05-29,0.10216132499152061,0,
30-39,,2021-06-05,0,0,
30-39,,2021-06-12,0,0,
30-39,,2021-06-19,0,0,
30-39,,2021-06-26,0,0,
30-39,,2021-07-03,0,0,
30-39,,2021-07-10,0,0,
30-39,,2021-07-17,0,0,
30-39,,2021-07-24,0.1651568577256249,0,
30-39,,2021-07-31,0,0,
30-39,,2021-08-07,0,0,
30-39,,2021-08-14,0,0,
30-39,,2021-08-21,0.1800922432469911,0,
30-39,,2021-08-28,0,0,
30-39,,2021-09-04,0.1937608990505716,0,
30-39,,2021-09-11,0,0,
30-39,,2021-09-18,0.21861889698021716,0,
30-39,,2021-09-25,0,0,
30-39,,2021-10-02,0.23875465571578647,0,
30-39,,2021-10-09,0,0,
30-39,,2021-10-16,0,0,
30-39,,2021-10-23,0,0,
30-39,,2021-10-30,0,0,
30-39,,2021-11-06,0,0,
30-39,,2021-11-13,0,0,0
30-39,,2021-11-20,0,0,0
30-39,,2021-11-27,0,0,0
30-39,,2021-12-04,0.2824092901360083,0,0
30-39,,2021-12-11,0,0,0
30-39,,2021-12-18,0.5865360646362743,0,0
30-39,,2021-12-25,0,0,0
30-39,,2022-01-01,0,0,0
40-49,,2021-01-30,0.0840642721799379,0,
40-49,,2021-02-06,0,0,
40-49,,2021-02-13,0.08463810017934813,0,
40-49,,2021-02-20,0.08491328655177333,0,
40-49,,2021-02-27,0,0,
40-49,,2021-03-06,0,0,
40-49,,2021-03-13,0,0,
40-49,,2021-03-20,0,0,
40-49,,2021-03-27,0,0,
40-49,,2021-04-03,0,0,
40-49,,2021-04-10,0,0,
40-49,,2021-04-17,0,0,
40-49,,2021-04-24,0.09048373509619778,0,
40-49,,2021-05-01,0.1864363804495354,0,
40-49,,2021-05-08,0,0,
40-49,,2021-05-15,0,0,
40-49,,2021-05-22,0,0,
40-49,,2021-05-29,0,0,
40-49,,2021-06-05,0,0,
40-49,,2021-06-12,0,0,
40-49,,2021-06-19,0,0,
40-49,,2021-06-26,0.18572654366616767,0,
40-49,,2021-07-03,0,0,
40-49,,2021-07-10,0.19913218195105728,0,
40-49,,2021-07-17,0,0,
40-49,,2021-07-24,0,0,
40-49,,2021-07-31,0,0,
40-49,,2021-08-07,0,0,
40-49,,2021-08-14,0,0,
40-49,,2021-08-21,0,0,
40-49,,2021-08-28,0.23870621232917585,0,
40-49,,2021-09-04,0.4984088298108289,0,
40-49,,2021-09-11,0.2638090866401802,0,
40-49,,2021-09-18,0.2811903349258079,0,
40-49,,2021-09-25,0,0,
40-49,,2021-10-02,0,0,
40-49,,2021-10-09,0,0,
40-49,,2021-10-16,0,0,
40-49,,2021-10-23,0,0,
40-49,,2021-10-30,0.3303142609879039,0,
40-49,,2021-11-06,0,0,
40-49,,2021-11-13,0,0,0
40-49,,2021-11-20,0.6892630055313356,0,0
40-49,,2021-11-27,0,0,0
40-49,,2021-12-04,0.35323581669887,0,0
40-49,,2021-12-11,1.4347202295552368,0,0
40-49,,2021-12-18,0.36391028883559623,0,0
40-49,,2021-12-25,0.7340473166900339,0.136000761604265,0.5602774493929393
40-49,,2022-01-01,0,0,0
50-59,,2021-01-30,0.07820613886907667,0,
50-59,,2021-02-06,0.07857539662895834,0,
50-59,,2021-02-13,0.07907538731124705,0,
50-59,,2021-02-20,0,0,
50-59,,2021-02-27,0,0,
50-59,,2021-03-06,0.16060477333446826,0,
50-59,,2021-03-13,0.2427649962007278,0,
50-59,,2021-03-20,0.1630645703085508,0,
50-59,,2021-03-27,0.1648042414019567,0,
50-59,,2021-04-03,0.3329216202629415,0,
50-59,,2021-04-10,0.16803573784072395,0,
50-59,,2021-04-17,0.08570647418135319,0,
50-59,,2021-04-24,0,0,
50-59,,2021-05-01,0.4768739955841468,0,
50-59,,2021-05-08,0,0,
50-59,,2021-05-15,0.4753055026118037,0,
50-59,,2021-05-22,0.26980795070069125,0,
50-59,,2021-05-29,0,0.399027967870268,
50-59,,2021-06-05,0.3199897603276695,0,
50-59,,2021-06-12,0.1765960753288219,0,
50-59,,2021-06-19,0,0,
50-59,,2021-06-26,0,0.1606307003819798,
50-59,,2021-07-03,0,0,
50-59,,2021-07-10,0,0,
50-59,,2021-07-17,0,0,
50-59,,2021-07-24,0.23429409532020973,0,
50-59,,2021-07-31,0.24024658909905128,0,
50-59,,2021-08-07,0.24506140013380354,0,
50-59,,2021-08-14,0.25086045134812407,0,
50-59,,2021-08-21,0.25773461582078167,0,
50-59,,2021-08-28,1.0685644371069687,0,
50-59,,2021-09-04,0.5559416261292565,0,
50-59,,2021-09-11,1.4651928779904586,0.11076478654517985,
50-59,,2021-09-18,0.62181127406021,0,
50-59,,2021-09-25,1.6268468779181566,0.10759653022709324,
50-59,,2021-10-02,1.3417550827359728,0,
50-59,,2021-10-09,0.34327927828964533,0,
50-59,,2021-10-16,0.35105087078168495,0,
50-59,,2021-10-23,0,0,
50-59,,2021-10-30,0,0,
50-59,,2021-11-06,0.36556521866283553,0,0
50-59,,2021-11-13,0.37180941049617966,0,0
50-59,,2021-11-20,0,0,0
50-59,,2021-11-27,1.1400948558920103,0.199203187250996,0
50-59,,2021-12-04,0,0,1.7615247758459722
50-59,,2021-12-11,0.7804299388533142,0.33684740026790594,0
50-59,,2021-12-18,1.5832304233558152,0.12718520073004305,0.40598255898926583
50-59,,2021-12-25,0.3990375214981465,0.14112334180073385,0
50-59,,2022-01-01,2.0057524981647363,0,0
60-69,,2021-01-30,0,0,
60-69,,2021-02-06,0.8538488303338335,0,
60-69,,2021-02-13,0.7536590145154726,0,
60-69,,2021-02-20,0.4342101121021957,0,
60-69,,2021-02-27,0.10925367720564055,0,
60-69,,2021-03-06,0.6619506361345613,0,
60-69,,2021-03-13,0.6709195511548203,0,
60-69,,2021-03-20,0.45452272840903407,0,
60-69,,2021-03-27,0.46628361467720936,0,
60-69,,2021-04-03,0.8405884118883218,0,
60-69,,2021-04-10,0.6275604466222187,0,
60-69,,2021-04-17,0.550833686784949,0,
60-69,,2021-04-24,1.2558002272998412,0,
60-69,,2021-05-01,0.5449769474751218,0,
60-69,,2021-05-08,1.2713749920539064,0.5715984178155795,
60-69,,2021-05-15,0.9664753850800363,0,
60-69,,2021-05-22,0.2723192889198728,0,
60-69,,2021-05-29,0.5888952031541227,0,
60-69,,2021-06-05,1.267037697539096,0,
60-69,,2021-06-12,0.3432663163061798,0.18222271624825295,
60-69,,2021-06-19,1.4745456556198622,0,
60-69,,2021-06-26,0.39173593863848255,0,
60-69,,2021-07-03,0,0,
60-69,,2021-07-10,0,0,
60-69,,2021-07-17,0,0,
60-69,,2021-07-24,0.8867803223446472,0,
60-69,,2021-07-31,0.4554563672800146,0,
60-69,,2021-08-07,0.4648308945205734,0,
60-69,,2021-08-14,0,0,
60-69,,2021-08-21,0,0.1352085862860635,
60-69,,2021-08-28,2.526286005891299,0.1340313687015309,
60-69,,2021-09-04,2.629627486970196,0.13312672066286457,
60-69,,2021-09-11,5.537221200912534,0,
60-69,,2021-09-18,2.3431276067294626,0.26216649145206156,
60-69,,2021-09-25,3.0583097333765576,0.25977568369712756,
60-69,,2021-10-02,5.046586299779842,0,
60-69,,2021-10-09,0.6460115248456032,0,
60-69,,2021-10-16,1.9828287034283107,0,
60-69,,2021-10-23,4.034291477559254,0.12449718698606005,
60-69,,2021-10-30,2.7269504513103,0,0
60-69,,2021-11-06,0,0,0
60-69,,2021-11-13,2.109912368306303,0,0
60-69,,2021-11-20,0,0.12813498251598163,0
60-69,,2021-11-27,3.6066708984938542,0.27263222322035907,1.1639411045801082
60-69,,2021-12-04,8.038408979633594,0.3010946295256405,0
60-69,,2021-12-11,2.9709735880448025,0.17529467034084295,0
60-69,,2021-12-18,9.059885845438348,1.061985998776592,0.5632327305804395
60-69,,2021-12-25,3.0473172181041117,0.9712486129355746,0.4814984230926644
60-69,,2022-01-01,6.12655940082249,1.0755926515510046,0.2191194902404179
70-79,,2021-01-30,2.2812508554690707,0,
70-79,,2021-02-06,1.5715486826493168,0,
70-79,,2021-02-13,1.9502142797939923,0,
70-79,,2021-02-20,1.5010457285242051,0,
70-79,,2021-02-27,1.1943802702029422,1.3207945900253593,
70-79,,2021-03-06,0.5345935485250564,0,
70-79,,2021-03-13,2.067086347834257,0,
70-79,,2021-03-20,1.3816762101016322,0,
70-79,,2021-03-27,1.7132638747604108,0.6662136413905211,
70-79,,2021-04-03,1.4004556148933787,0,
70-79,,2021-04-10,3.407619437061269,0,
70-79,,2021-04-17,1.2982587105045358,0,
70-79,,2021-04-24,2.4740533653310903,0.374031725370946,
70-79,,2021-05-01,5.097567440817242,0.3291920967561411,
70-79,,2021-05-08,1.7439021554630643,0,
70-79,,2021-05-15,2.5080256821829856,0,
70-79,,2021-05-22,4.06699699720055,0,
70-79,,2021-05-29,2.1364325848697843,0.1869511814379911,
70-79,,2021-06-05,2.9824705294630807,0.17852966538184817,
70-79,,2021-06-12,2.337176690557806,0,
70-79,,2021-06-19,1.6248933663728318,0,
70-79,,2021-06-26,0.8446516656530847,0,
70-79,,2021-07-03,0,0,
70-79,,2021-07-10,0.8926578888640928,0,
70-79,,2021-07-17,0,0,
70-79,,2021-07-24,0.9374970703216552,0,
70-79,,2021-07-31,1.9176190841451255,0,
70-79,,2021-08-07,0,0,
70-79,,2021-08-14,0.9930585209386389,0,
70-79,,2021-08-21,5.080371476762381,0.6375873693942123,
70-79,,2021-08-28,3.138731952291274,0.3174976108304785,
70-79,,2021-09-04,10.842106404432252,0.6330315882762549,
70-79,,2021-09-11,4.538646575591159,0.1577242286496598,
70-79,,2021-09-18,4.78423117405033,0.4712416904381919,
70-79,,2021-09-25,1.2481901243197364,0.31271988116644517,
70-79,,2021-10-02,10.306887577623748,0.15559576841748213,
70-79,,2021-10-09,5.2805280528052805,0.15466947133974696,
70-79,,2021-10-16,6.7525592199443585,0.15364310856882982,0
70-79,,2021-10-23,2.7501993894557355,0.45831124527748457,0
70-79,,2021-10-30,4.183983710356754,0.6085168011488797,0
70-79,,2021-11-06,1.411472448057814,0.6078593170396643,0
70-79,,2021-11-13,10.09009009009009,0.46879980997981036,0
70-79,,2021-11-20,4.3873760566264,1.0679367995002056,0.9959663363378318
70-79,,2021-11-27,13.349748579735081,1.92,0.5139749796979883
70-79,,2021-12-04,25.576986730057474,1.5931854149185882,1.3902791680569457
70-79,,2021-12-11,24.48092782716465,3.398343647306303,1.616248686797942
70-79,,2021-12-18,29.624085941032476,3.9959685117681274,0.6796032929044885
70-79,,2021-12-25,29.916077529876713,4.132594287721545,0.4221573507093299
70-79,,2022-01-01,15.838824125696908,3.9723298849726763,0.40678931364473053
80+,,2021-01-30,9.625247022941174,0,
80+,,2021-02-06,12.385353992972941,0,
80+,,2021-02-13,12.256624885995365,2.3816895705813703,
80+,,2021-02-20,8.132978064196307,0,
80+,,2021-02-27,4.52494271833877,1.8093652746616486,
80+,,2021-03-06,6.820475978283604,0,
80+,,2021-03-13,9.230863906296475,1.8002016225817292,
80+,,2021-03-20,5.047304459013084,0.522733688095263,
80+,,2021-03-27,10.257067760753895,0.47074108769435724,
80+,,2021-04-03,17.461657111259857,0.4296473883883497,
80+,,2021-04-10,11.486425506428295,0.7781404777004393,
80+,,2021-04-17,11.353207754240897,1.08705892584084,
80+,,2021-04-24,17.087809983552983,1.3440363427427078,
80+,,2021-05-01,21.64137831533893,0.9517917479655451,
80+,,2021-05-08,16.06425702811245,0.6019400527901426,
80+,,2021-05-15,8.549931600547195,0.5770456991341429,
80+,,2021-05-22,21.510993654256872,0.5544220704337798,
80+,,2021-05-29,6.475320933093746,0,
80+,,2021-06-05,10.221290949046864,0.7899039740068933,
80+,,2021-06-12,3.5689430575135175,0.2595528423631767,
80+,,2021-06-19,1.8562518562518562,0,
80+,,2021-06-26,1.9209712430604913,0,
80+,,2021-07-03,1.977887220870666,0,
80+,,2021-07-10,2.029138427823546,0,
80+,,2021-07-17,0,0.24973216225598047,
80+,,2021-07-24,0,0,
80+,,2021-07-31,8.725622791326732,0.24784191651197202,
80+,,2021-08-07,2.2169016582424406,0,
80+,,2021-08-14,9.038118263777482,0.9859259076680388,
80+,,2021-08-21,16.218721037998147,0.9830328529579458,
80+,,2021-08-28,35.89031918457195,0.7352905132817976,
80+,,2021-09-04,27.323761736797657,2.445932658582044,
80+,,2021-09-11,26.198585276395075,3.172766921220197,
80+,,2021-09-18,30.922328732465633,2.433113704269628,
80+,,2021-09-25,27.09945499984945,2.6672680143644505,
80+,,2021-10-02,28.576871785101925,0.4831197943842155,
80+,,2021-10-09,26.455026455026456,2.163908885009882,
80+,,2021-10-16,24.02361177843366,2.6297670504532764,
80+,,2021-10-23,28.29754872484171,2.377567178160619,
80+,,2021-10-30,32.60160834601174,3.5509850432509977,0
80+,,2021-11-06,44.398401657540326,3.0757655698802107,0
80+,,2021-11-13,84.54709657584259,3.923241774678417,11.717834544176236
80+,,2021-11-20,111.29218172423387,6.052501124035923,0
80+,,2021-11-27,115.25953978512328,11.773268259268773,2.0481170976815313
80+,,2021-12-04,157.68165352652886,19.281533340984737,7.631075647806782
80+,,2021-12-11,247.88632641317338,27.37922557569191,5.455154731567422
80+,,2021-12-18,234.81744095032,22.084155354671534,3.4091993836167513
80+,,2021-12-25,202.74411806308643,12.476710141070003,4.847106116078497
80+,,2022-01-01,195.84427991401958,17.843282450239546,3.7733950493056954
All ages,,2021-01-30,0.7470406227020137,0,
All ages,,2021-02-06,0.9222847651721231,0,
All ages,,2021-02-13,0.9483439992723205,0.1295636739103005,
All ages,,2021-02-20,0.6357205989950329,0,
All ages,,2021-02-27,0.3636558610382241,0.21441530513444207,
All ages,,2021-03-06,0.5187935959963508,0,
All ages,,2021-03-13,0.7980051875764399,0.09793078782472854,
All ages,,2021-03-20,0.4731437537504104,0.0284366602360236,
All ages,,2021-03-27,0.7872949020167018,0.0841120401520126,
All ages,,2021-04-03,1.2204981783664557,0.02337277486249903,
All ages,,2021-04-10,1.0220740633858263,0.042330763989773576,
All ages,,2021-04-17,0.8082334027370587,0.059135896604083575,
All ages,,2021-04-24,1.3039129106025285,0.10596116250363008,
All ages,,2021-05-01,1.7851575713541887,0.08068548898658179,
All ages,,2021-05-08,1.1738294517905539,0.09874276064654142,
All ages,,2021-05-15,0.8691167361152468,0.03139122819255892,
All ages,,2021-05-22,1.5997491477780974,0.030160505058944968,
All ages,,2021-05-29,0.6221724069105768,0.07700363592751477,
All ages,,2021-06-05,1.0128228686295773,0.05864833886441265,
All ages,,2021-06-12,0.4658374230059915,0.035159252001643826,
All ages,,2021-06-19,0.41392287101813924,0,
All ages,,2021-06-26,0.24870384448540528,0.02438938024259792,
All ages,,2021-07-03,0.10759686656128062,0,
All ages,,2021-07-10,0.21536364130565708,0,
All ages,,2021-07-17,0,0.013585404594751596,
All ages,,2021-07-24,0.24342258463124955,0,
All ages,,2021-07-31,0.7321346430078559,0.013482575415746852,
All ages,,2021-08-07,0.21147795801782956,0,
All ages,,2021-08-14,0.6169679159265413,0.05363427055257979,
All ages,,2021-08-21,1.3927898833617556,0.12507814370551396,
All ages,,2021-08-28,2.7138653694131034,0.08335627417914858,
All ages,,2021-09-04,2.9202351199033316,0.20401930493465323,
All ages,,2021-09-11,2.7207893997141204,0.20326679168364847,
All ages,,2021-09-18,2.535421418210446,0.20401337280721832,
All ages,,2021-09-25,2.183945613527727,0.2400892948788111,
All ages,,2021-10-02,3.279532992061687,0.03994536246533204,
All ages,,2021-10-09,2.029573047685546,0.13129877743549773,
All ages,,2021-10-16,2.1821013875390314,0.1565512845526136,0
All ages,,2021-10-23,2.2466965130850074,0.18396073076624894,0
All ages,,2021-10-30,2.499904475575859,0.24661033539840072,0
All ages,,2021-11-06,2.5947231572550726,0.22070070649538862,0
All ages,,2021-11-13,5.785484348372645,0.254591770295679,0.6374490246627358
All ages,,2021-11-20,6.531598130090802,0.43783126279998474,0.08746111458300641
All ages,,2021-11-27,8.031956003812239,0.8707944576133111,0.2909419650563233
All ages,,2021-12-04,11.838763538325608,1.2235842518325395,0.8046788872783852
All ages,,2021-12-11,16.287895056636486,1.8592387501770653,0.4386912857809048
All ages,,2021-12-18,16.792694827030953,1.6942122045481214,0.37181347268940645
All ages,,2021-12-25,14.166799616351518,1.1933655334611355,0.4311607958341099
All ages,,2022-01-01,13.056722667028176,1.4436931674003763,0.26629439017818224
